576074349315446795593634226951321713,754918209312159929, 1370386679171, 0, 1
906624652205912307702845542688150333,797360071237054693, 1054819597324, 0, 1
892283915520926278501337902357875767,830780039464045813, 1227454458653, 0, 1
850165035080077732886098270272813367,912245546064961723, 2172260251348, 0, 1
996818335656716470878310254496533293,885601083356169671, 1606844932741, 0, 1
886822455908632920190529232552298003,910073870187281123, 1358460031237, 0, 1
564680365988525800844682582937918903,709779337650226787, 982247572204, 0, 1
739737598380866563727057313874298723,692973972420622433, 198686641224, 0, 1
586338257974885277718292675245257761,720039239443330451, 2055868489025, 0, 1
1289548917951010852644679104851323949,1131230378566937917, 2612428118864, 0, 1
